"","guide","cells"
"1","hsa-let-7a-2-3p",59
"2","hsa-let-7a-5p",9
"3","hsa-let-7b-3p",86
"4","hsa-let-7d-3p",49
"5","hsa-let-7f-2-3p",52
"6","hsa-let-7i-3p",66
"7","hsa-let-7i-5p",21
"8","hsa-miR-100-3p",80
"9","hsa-miR-100-5p",24
"10","hsa-miR-101-3p",78
"11","hsa-miR-10399-3p",81
"12","hsa-miR-10399-5p",67
"13","hsa-miR-103a-2-5p",101
"14","hsa-miR-103a-3p",22
"15","hsa-miR-10401-3p",45
"16","hsa-miR-10523-5p",107
"17","hsa-miR-10526-3p",84
"18","hsa-miR-10527-5p",120
"19","hsa-miR-106b-3p",80
"20","hsa-miR-106b-5p",14
"21","hsa-miR-10a-3p",56
"22","hsa-miR-10a-5p",76
"23","hsa-miR-1180-3p",66
"24","hsa-miR-1180-5p",80
"25","hsa-miR-122-5p",135
"26","hsa-miR-1226-3p",68
"27","hsa-miR-1226-5p",68
"28","hsa-miR-1246",95
"29","hsa-miR-1248",53
"30","hsa-miR-1249-3p",45
"31","hsa-miR-1255a",120
"32","hsa-miR-125a-3p",97
"33","hsa-miR-125a-5p",69
"34","hsa-miR-125b-1-3p",72
"35","hsa-miR-125b-5p",52
"36","hsa-miR-126-3p",60
"37","hsa-miR-126-5p",58
"38","hsa-miR-1260b",85
"39","hsa-miR-1262",79
"40","hsa-miR-1267",83
"41","hsa-miR-1268b",40
"42","hsa-miR-1270",75
"43","hsa-miR-1271-5p",86
"44","hsa-miR-1277-3p",32
"45","hsa-miR-1278",48
"46","hsa-miR-128-1-5p",85
"47","hsa-miR-128-3p",77
"48","hsa-miR-1284",70
"49","hsa-miR-1285-3p",95
"50","hsa-miR-1287-5p",77
"51","hsa-miR-129-5p",47
"52","hsa-miR-1292-5p",87
"53","hsa-miR-1294",82
"54","hsa-miR-1295a",93
"55","hsa-miR-1296-5p",74
"56","hsa-miR-1299",82
"57","hsa-miR-1301-3p",60
"58","hsa-miR-1303",59
"59","hsa-miR-1304-3p",83
"60","hsa-miR-1304-5p",95
"61","hsa-miR-1306-5p",61
"62","hsa-miR-1307-3p",76
"63","hsa-miR-1307-5p",67
"64","hsa-miR-130a-5p",64
"65","hsa-miR-130b-3p",91
"66","hsa-miR-130b-5p",87
"67","hsa-miR-132-3p",86
"68","hsa-miR-132-5p",58
"69","hsa-miR-1343-3p",76
"70","hsa-miR-135b-5p",74
"71","hsa-miR-137-3p",69
"72","hsa-miR-138-1-3p",71
"73","hsa-miR-138-5p",65
"74","hsa-miR-139-3p",79
"75","hsa-miR-139-5p",75
"76","hsa-miR-140-3p",78
"77","hsa-miR-140-5p",67
"78","hsa-miR-142-3p",66
"79","hsa-miR-143-3p",96
"80","hsa-miR-146a-5p",78
"81","hsa-miR-146b-5p",84
"82","hsa-miR-147b-5p",89
"83","hsa-miR-148a-3p",66
"84","hsa-miR-148a-5p",80
"85","hsa-miR-149-5p",44
"86","hsa-miR-151a-3p",73
"87","hsa-miR-151a-5p",38
"88","hsa-miR-15a-5p",42
"89","hsa-miR-15b-3p",60
"90","hsa-miR-15b-5p",42
"91","hsa-miR-16-2-3p",88
"92","hsa-miR-16-5p",20
"93","hsa-miR-17-3p",97
"94","hsa-miR-181a-2-3p",70
"95","hsa-miR-181a-5p",57
"96","hsa-miR-181b-3p",79
"97","hsa-miR-181b-5p",45
"98","hsa-miR-182-3p",76
"99","hsa-miR-182-5p",74
"100","hsa-miR-183-3p",91
"101","hsa-miR-183-5p",92
"102","hsa-miR-185-3p",73
"103","hsa-miR-185-5p",86
"104","hsa-miR-186-5p",45
"105","hsa-miR-188-5p",74
"106","hsa-miR-18a-3p",78
"107","hsa-miR-18a-5p",20
"108","hsa-miR-1908-5p",72
"109","hsa-miR-190a-5p",60
"110","hsa-miR-190b-5p",77
"111","hsa-miR-191-3p",47
"112","hsa-miR-191-5p",51
"113","hsa-miR-1910-5p",55
"114","hsa-miR-192-5p",70
"115","hsa-miR-193a-5p",79
"116","hsa-miR-193b-3p",81
"117","hsa-miR-193b-5p",49
"118","hsa-miR-194-3p",92
"119","hsa-miR-194-5p",82
"120","hsa-miR-196a-5p",52
"121","hsa-miR-197-3p",80
"122","hsa-miR-199b-3p",89
"123","hsa-miR-19b-1-5p",62
"124","hsa-miR-19b-3p",16
"125","hsa-miR-200a-3p",84
"126","hsa-miR-200a-5p",88
"127","hsa-miR-200b-5p",56
"128","hsa-miR-200c-3p",92
"129","hsa-miR-203a-3p",76
"130","hsa-miR-204-5p",58
"131","hsa-miR-205-5p",78
"132","hsa-miR-20a-3p",95
"133","hsa-miR-20a-5p",4
"134","hsa-miR-21-3p",71
"135","hsa-miR-21-5p",27
"136","hsa-miR-210-3p",95
"137","hsa-miR-2110",99
