"guide","miR.family"
"hsa-miR-203a-3p","miR-203a-3p.1"
"hsa-miR-93-3p","miR-93-3p"
"hsa-miR-130b-3p","miR-130-3p/301-3p/454-3p"
"hsa-miR-147b-5p","miR-147b"
"hsa-miR-501-5p","miR-501-5p"
"hsa-miR-877-5p","miR-877-5p"
"hsa-miR-24-2-5p","miR-24-5p"
"hsa-miR-3177-3p","miR-3177-3p"
"hsa-miR-1270","miR-1270"
"hsa-miR-330-5p","miR-326"
"hsa-miR-503-3p","miR-503-3p"
"hsa-miR-3662","miR-3662"
"hsa-miR-205-5p","miR-205-5p"
"hsa-miR-576-3p","miR-576-3p"
"hsa-miR-28-5p","miR-28-5p/708-5p"
"hsa-miR-135b-5p","miR-135-5p"
"hsa-miR-25-5p","miR-25-5p"
"hsa-miR-27a-5p","miR-27a-5p"
"hsa-miR-590-3p","miR-590-3p"
"hsa-miR-503-5p","miR-503-5p"
"hsa-miR-345-5p","miR-345-5p"
"hsa-miR-103a-2-5p","miR-103a-2-5p"
"hsa-miR-3065-3p","miR-3065-3p"
"hsa-miR-199b-3p","miR-199-3p"
"hsa-miR-34b-3p","miR-34b-3p"
"hsa-miR-1226-5p","miR-1226-5p"
"hsa-miR-339-3p","miR-339-3p"
"hsa-miR-1255a","miR-1255a/1255b-5p"
"hsa-miR-1910-5p","miR-1910-5p"
"hsa-miR-582-5p","miR-582-5p"
"hsa-miR-1304-3p","miR-1304-3p"
"hsa-miR-1303","miR-1303"
"hsa-miR-455-5p","miR-455-5p"
"hsa-miR-1287-5p","miR-1287-5p"
"hsa-miR-550a-3p","miR-200c-5p/550a-3p"
"hsa-miR-28-3p","miR-28-3p"
"hsa-miR-188-5p","miR-188-5p"
"hsa-miR-374b-5p","miR-374-5p"
"hsa-miR-181a-2-3p","miR-181a-2-3p"
"hsa-miR-224-5p","miR-224-5p"
"hsa-miR-324-5p","miR-324-5p"
"hsa-miR-664a-5p","miR-664a-5p/4794"
"hsa-miR-548j-5p","miR-548ay-5p/548au-5p/548as-5p/548ar-5p/548aq-5p/548ap-5p/548am-5p/548ae-5p/548ad-5p/548a-5p/548ak/548ab/548bb-5p/548b-5p/548c-5p/548d-5p/548h-5p/548i/548j-5p/548o-5p/548w/548y/559"
"hsa-miR-628-3p","miR-628-3p"
"hsa-miR-486-3p","miR-486-3p"
"hsa-miR-125a-3p","miR-125a-3p"
"hsa-miR-550a-5p","miR-550a-3-5p/550a-5p/1271-3p"
"hsa-miR-505-5p","miR-505-5p"
"hsa-miR-1343-3p","miR-1343-3p"
"hsa-miR-708-5p","miR-28-5p/708-5p"
"hsa-miR-3934-5p","miR-3934-5p"
"hsa-miR-576-5p","miR-576-5p"
"hsa-miR-551b-5p","miR-551b-5p"
"hsa-miR-1260b","miR-1260a/1260b"
"hsa-miR-3605-3p","miR-3605-3p"
"hsa-miR-10a-3p","miR-10a-3p"
"hsa-miR-491-5p","miR-491-5p"
"hsa-miR-10527-5p","hsa-miR-10527-5p"
"hsa-miR-486-5p","miR-486-5p"
"hsa-miR-151a-5p","miR-151-5p"
"hsa-miR-30c-5p","miR-30-5p"
"hsa-miR-532-3p","miR-532-3p"
"hsa-miR-1267","miR-1267"
"hsa-miR-455-3p","miR-455-3p.1"
"hsa-miR-619-5p","miR-619-5p/6506-5p"
"hsa-miR-450a-2-3p","miR-450a-2-3p"
"hsa-miR-185-5p","miR-185-5p"
"hsa-miR-340-5p","miR-340-5p"
"hsa-miR-190b-5p","miR-190-5p"
"hsa-miR-132-3p","miR-132-3p/212-3p"
"hsa-miR-137-3p","miR-137"
"hsa-miR-16-2-3p","miR-16-2-3p/195-3p"
"hsa-miR-378c","miR-378-3p"
"hsa-miR-548p","miR-548p"
"hsa-miR-3605-5p","miR-3605-5p"
"hsa-miR-744-3p","miR-744-3p"
"hsa-miR-579-3p","miR-579-3p"
"hsa-miR-3928-3p","miR-3928-3p"
"hsa-miR-766-3p","miR-766-3p"
"hsa-miR-653-3p","miR-653-3p"
"hsa-miR-636","miR-636"
"hsa-miR-99b-5p","miR-99-5p/100-5p"
"hsa-miR-574-5p","miR-574-5p"
"hsa-miR-425-5p","miR-425-5p"
"hsa-miR-4661-5p","miR-4661-5p"
"hsa-miR-454-5p","miR-454-5p"
"hsa-miR-449c-5p","miR-34b-5p/449c-5p"
"hsa-miR-362-5p","miR-362-5p/500b-5p"
"hsa-miR-34a-5p","miR-34-5p/449-5p"
"hsa-miR-100-3p","miR-100-3p"
"hsa-miR-212-5p","miR-212-5p"
"hsa-miR-6511b-3p","miR-6511-3p"
"hsa-miR-450b-5p","miR-450b-5p"
"hsa-miR-605-5p","miR-605-5p"
"hsa-miR-27b-5p","miR-27b-5p"
"hsa-miR-140-5p","miR-140-5p"
"hsa-miR-146a-5p","miR-146-5p"
"hsa-miR-21-3p","miR-21-3p/3591-3p"
"hsa-miR-26a-1-3p","miR-26-3p"
"hsa-miR-651-5p","miR-651-5p"
"hsa-miR-1248","miR-1248"
"hsa-miR-1226-3p","miR-1226-3p"
"hsa-miR-7974","miR-7974"
"hsa-miR-374a-3p","miR-374a-3p"
"hsa-miR-29a-5p","miR-29a-5p"
"hsa-miR-589-5p","miR-589-5p"
"hsa-miR-129-5p","miR-129-5p"
"hsa-miR-7706","miR-7706"
"hsa-miR-660-5p","miR-660-5p"
"hsa-miR-4707-5p","miR-4707-5p"
"hsa-miR-29a-3p","miR-29-3p"
"hsa-miR-362-3p","miR-329-3p/362-3p"
"hsa-miR-34c-3p","miR-34c-3p"
"hsa-miR-24-3p","miR-24-3p"
"hsa-miR-3614-5p","miR-3614-5p"
"hsa-miR-3613-5p","miR-3613-5p"
"hsa-miR-139-3p","miR-139-3p"
"hsa-miR-340-3p","miR-340-3p/6827-3p"
"hsa-miR-1278","miR-1278"
"hsa-miR-30c-2-3p","miR-30c-3p/6788-5p"
"hsa-miR-1295a","miR-1295a"
"hsa-miR-582-3p","miR-582-3p"
"hsa-miR-128-3p","miR-128-3p"
"hsa-miR-212-3p","miR-132-3p/212-3p"
"hsa-miR-4676-3p","miR-452-5p/892-3p"
"hsa-miR-642a-3p","miR-642-3p"
"hsa-miR-424-5p","miR-15-5p/16-5p/195-5p/424-5p/497-5p"
"hsa-miR-122-5p","miR-122-5p"
"hsa-miR-301b-5p","miR-301a-5p/301b-5p"
"hsa-miR-641","miR-641/3617-5p"
"hsa-miR-375-3p","miR-375"
"hsa-miR-877-3p","miR-877-3p"
